trip_distance,rate_code,fare_amount,extra,service_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,Delhi_location_id,dropoff_location_id,year,month,day,day_of_week,hour_of_day,trip_duration,model,passenger_count,Delhi_longitude,Delhi_latitude,dropoff_longitude,dropoff_latitude,Pickup_city,Pickup_State,Time_Category,time_taken ,,
18,1,3977,22,132,656,20.92,64.98,4873,132,11,2023,5,1,Monday,3:19 PM,153,MINI,2,-73.789506,40.64704,-73.815622,40.680364,Bhop?l,Madhya Pradesh,AfterNoon,28:16.0,,
3.6,4,2337,34,53,4853.52,239.18,34.4,7551,144,230,2023,7,27,Thrusday,5:59 AM,272,SUV,1,-73.788127,40.647295,-73.978957,40.756305,Pimpri-Chinchwad,Mah?r?shtra,Morning,52:00.0,,
0.2,10,246,31,87,61.5,166.67,6.49,599,236,236,2020,4,4,Tuesday,10:32 AM,222,SUV,3,-73.783545,40.648577,-73.9715,40.7611,Patna,Bih?r,Morning,01:00.0,,
3.9,9,1927,34,101,492.82,25.1,76.21,2656,186,146,2022,2,7,Tuesday,2:02 PM,155,MINI,1,-74.005322,40.650103,-73.859852,40.711942,Bil?spur,Chhatt?sgarh,AfterNoon,06:30.0,,
11.26,5,2993,45,114,53,38.11,80.61,3324,48,257,2018,3,18,Saturday,9:21 PM,101,AUTO,5,-73.788498,40.65458,-73.752772,40.6617,Ludhi?na,Punjab,Night,32:00.0,,
6.57,1,1763,4,80,457.56,26.64,20.1,2351,233,231,2019,11,29,Wednesday,9:00 AM,180,AUTO,1,-73.789203,40.655194,-73.996509,40.737216,?gra,Uttar Pradesh,Morning,59:00.0,,
8.6,6,2255,8,60,557.6,164.09,35.23,3080,138,233,2022,2,9,Thrusday,3:08 PM,227,MINI,3,-73.794116,40.657058,-73.794132,40.657039,Madurai,Tamil N?du,AfterNoon,50:06.0,,
9.53,6,2337,34,120,574.82,290.06,31.74,3388,239,138,2021,3,8,Wednesday,1:16 PM,72,AUTO,1,-74.001218,40.674023,-73.999423,40.672925,Jamshedpur,Jh?rkhand,AfterNoon,05:51.0,,
13.4,2,3321,9,135,15325,168.94,38.65,18998,138,225,2023,6,3,Saturday,9:37 AM,262,MINI,1,-73.983837,40.676052,-74.002522,40.723145,Prayagraj,Uttar Pradesh,Morning,48:28.0,,
13.24,2,3198,35,108,763.42,269.06,74.37,4448,138,209,2018,6,25,Sunday,1:46 PM,15,AUTO,1,-73.978077,40.679975,-73.98949,40.665362,N?sik,Mah?r?shtra,AfterNoon,46:31.0,,
10.08,4,3116,40,84,933.98,297.86,3.31,4475,138,249,2018,3,27,Monday,12:58 PM,174,MINI,5,-73.980755,40.680558,-73.98911,40.726788,Far?d?b?d,Hary?na,AfterNoon,14:00.0,,
10.24,9,3198,25,134,747.532,300.52,11.89,4417,230,138,2022,9,24,Sunday,3:38 AM,284,AUTO,1,-73.980759,40.680705,-73.989813,40.690149,Meerut,Uttar Pradesh,Late_Night,13:01.0,,
7.61,8,1886,22,156,441.98,132.1,21.84,2660,166,200,2021,12,20,Wednesday,7:52 PM,198,AUTO,1,-73.99784,40.68295,-73.980198,40.676842,Jabalpur,Madhya Pradesh,Evening,35:00.0,,
3.9,2,2132,39,152,53,99.39,86.41,2562,238,164,2020,11,8,Wednesday,2:07 PM,110,MINI,6,-73.978772,40.684557,-73.98179,40.714545,Kaly?n,Mah?r?shtra,AfterNoon,10:00.0,,
15.34,6,3444,21,81,7153.12,326.28,18.19,11044,138,89,2022,5,2,Tuesday,12:37 AM,105,MINI,6,-73.996359,40.686204,-73.972373,40.762092,Vasai-Virar,Mah?r?shtra,Late_Night,02:00.0,,
24.39,2,5371,13,145,15395.52,115.68,25.39,21066,132,227,2019,10,5,Thrusday,4:07 PM,254,AUTO,1,-73.994448,40.690077,-73.988643,40.693565,Najafgarh,Delhi,Evening,39:00.0,,
4.68,5,1927,26,108,398.52,95.06,98.67,2653,161,13,2018,2,6,Monday,3:46 PM,124,AUTO,1,-73.994279,40.690409,-74.016739,40.709063,V?r?nasi,Uttar Pradesh,AfterNoon,35:00.0,,
8.9,3,2378,43,76,229.6,234.64,46.11,3007,113,166,2020,3,17,Friday,5:45 PM,49,AUTO,1,-73.994535,40.690711,-74.004799,40.713773,Sr?nagar,Jammu and Kashm?r,Evening,29:00.0,,
8.3,2,2050,0,92,516.6,43.61,84.43,2787,138,233,2018,10,7,Saturday,1:37 AM,74,AUTO,1,-73.99657,40.690783,-73.976548,40.682672,Aurang?b?d,Mah?r?shtra,Late_Night,43:35.0,,
9.95,6,2378,6,45,344.4,37.88,20.84,2832,138,90,2020,11,29,Wednesday,12:52 AM,179,AUTO,1,-73.989258,40.690835,-74.004133,40.72569,Dhanb?d,Jh?rkhand,Late_Night,57:34.0,,
4.2,3,2132,8,64,569.9,283.51,77,3134,170,143,2022,10,17,Tuesday,4:45 PM,18,AUTO,1,-73.99209,40.695094,-73.955132,40.717156,Amritsar,Punjab,Evening,20:00.0,,
8.24,4,1968,25,54,5531.532,253.6,82.92,7915,140,138,2023,10,14,Saturday,8:31 AM,245,AUTO,1,-74.01336,40.702272,-74.01699,40.709245,Al?garh,Uttar Pradesh,Morning,20:00.0,,
8.7,3,2337,8,43,6153.9,6.73,85.39,8634,263,65,2023,4,7,Friday,1:47 PM,295,AUTO,1,-73.989854,40.702666,-73.999213,40.693973,Guw?h?ti,Assam,AfterNoon,20:44.0,,
8.11,3,1927,22,157,53,72.73,68.02,2300,138,75,2020,3,10,Friday,9:33 AM,272,MINI,5,-73.944145,40.702737,-73.913985,40.77846,H?ora,West Bengal,Morning,12:00.0,,
7.93,1,1927,6,109,2535,240.81,42.27,4860,80,223,2022,11,18,Saturday,12:36 PM,258,MINI,1,-74.011007,40.702744,-73.97727,40.789972,R?nchi,Jh?rkhand,AfterNoon,58:55.0,,
8.12,6,1927,3,113,5531.532,107.3,26.18,7708,138,263,2021,10,13,Friday,1:19 AM,297,MINI,2,-74.01159668,40.70290756,-73.972229,40.76314545,Gwalior,Madhya Pradesh,Late_Night,36:43.0,,
6.58,8,1804,40,134,3953.32,65.72,13.58,6011,164,61,2018,3,7,Tuesday,11:12 AM,199,AUTO,1,-74.010468,40.703142,-73.999873,40.71414,Delhi_City,Delhi_State,Morning,50:01.0,,
5.57,10,1927,20,129,398.52,13.51,82.3,2570,87,164,2019,3,8,Wednesday,7:59 AM,235,AUTO,1,-74.006924,40.703967,-74.012995,40.705742,Delhi,Delhi,Morning,38:56.0,,
3.63,7,1804,9,57,467.4,300.61,43.82,2682,186,140,2022,8,8,Tuesday,12:08 AM,291,MINI,3,-74.016847,40.704765,-73.975607,40.748965,Mumbai,Mah?r?shtra,Late_Night,26:19.0,,
8.3,8,2009,34,73,423.12,191.39,5.65,2736,93,146,2018,9,1,Friday,10:41 PM,107,AUTO,1,-74.009089,40.704779,-73.996267,40.721975,Kolk?ta,West Bengal,Night,55:00.0,,
11.64,10,2747,36,137,328,328.9,58.26,3635,263,228,2020,6,27,Tuesday,5:56 PM,275,MINI,2,-74.009728,40.705167,-73.970897,40.749307,Bangalore,Karn?taka,Evening,09:00.0,,
7.91,9,2255,35,61,464.12,212.35,41.25,3069,170,244,2023,2,26,Sunday,12:50 AM,266,MINI,1,-74.01294708,40.70524216,-73.98070526,40.7422142,Chennai,Tamil N?du,Late_Night,47:24.0,,
4.7,6,1886,23,129,398.52,187.06,27.71,2651,90,238,2022,12,8,Friday,1:40 AM,86,MINI,2,-74.007673,40.705285,-73.974562,40.763668,Hyder?b?d,Telang?na,Late_Night,09:39.0,,
11.01,6,2583,3,124,53,82.43,34.65,2880,164,182,2018,9,28,Thrusday,3:09 AM,108,AUTO,2,-74.00662,40.70657,-73.979923,40.724555,Pune,Mah?r?shtra,Late_Night,52:29.0,,
2.62,8,2419,32,82,496.92,130.79,83.29,3244,164,141,2018,3,27,Monday,3:58 AM,65,MINI,1,-74.005385,40.707002,-73.992793,40.750742,Ahmedabad,Gujar?t,Late_Night,27:00.0,,
5.15,7,1927,18,94,8.2,171.02,76.85,2295,90,87,2020,2,16,Thrusday,7:02 PM,251,SUV,1,-74.105395,40.707137,-74.105402,40.707113,S?rat,Gujar?t,Evening,06:00.0,,
20.59,9,4920,43,150,53,181.18,17.27,5364,219,81,2018,5,7,Sunday,12:51 AM,224,MINI,1,-74.003545,40.707399,-73.981312,40.750071,Lucknow,Uttar Pradesh,Late_Night,08:11.0,,
8.81,1,2952,33,64,697.82,231.29,61.42,4040,138,164,2020,6,25,Sunday,3:11 PM,254,MINI,1,-74.004532,40.707465,-73.977908,40.745633,Jaipur,R?jasth?n,AfterNoon,15:00.0,,
9.54,2,2993,48,63,53,255.04,88.52,3501,186,129,2022,2,9,Thrusday,10:21 AM,278,MINI,1,-74.010358,40.707788,-73.975095,40.761328,Kanpur,Uttar Pradesh,Morning,40:02.0,,
15.2,6,3731,24,43,15366,390.84,77.27,19632,161,226,2019,3,8,Wednesday,10:25 PM,283,MINI,1,-74.01278,40.707952,-73.997932,40.760632,Mirz?pur,Uttar Pradesh,Night,19:14.0,,
0.3,6,246,33,107,77.9,183.37,88.14,735,114,79,2019,1,28,Saturday,3:23 PM,58,MINI,1,-74.010163,40.708902,-73.987847,40.749225,N?gpur,Mah?r?shtra,AfterNoon,34:00.0,,
14.6,6,3362,0,78,53,356.71,96.72,3946,229,51,2023,2,9,Thrusday,11:59 AM,220,AUTO,1,-73.958882,40.709567,-73.98527,40.718643,Gh?zi?b?d,Uttar Pradesh,Morning,35:42.0,,
11.4,3,3444,49,64,812.62,300.13,95.07,4765,138,48,2022,3,8,Wednesday,2:18 PM,24,AUTO,1,-74.01072693,40.71009064,-73.99810028,40.72290039,Supaul,Bih?r,AfterNoon,40:00.0,,
16.59,2,6273,34,145,1943.4,125,75.52,8596,48,1,2022,3,6,Monday,10:30 AM,246,MINI,2,-74.008827,40.710565,-73.92766,40.759892,Vadodara,Gujar?t,Morning,33:00.0,,
5.9,10,1763,13,126,373.1,127.59,16.11,2419,264,264,2021,3,4,Saturday,11:35 AM,187,AUTO,1,-74.010905,40.710857,-73.991607,40.748842,R?jkot,Gujar?t,Morning,57:00.0,,
15.6,9,3608,19,86,742.1,340.32,13.06,4808,142,219,2021,6,25,Sunday,2:43 PM,117,AUTO,5,-74.01589,40.711205,-74.013135,40.715037,Vish?khapatnam,Andhra Pradesh,AfterNoon,37:00.0,,
5.3,7,1845,37,76,328,392.47,19.32,2698,100,87,2021,9,26,Tuesday,1:27 AM,176,AUTO,1,-74.00844,40.711253,-74.001313,40.731078,Indore,Madhya Pradesh,Late_Night,49:00.0,,
10.12,9,2665,17,106,6453.42,371.75,13.01,9626,138,237,2022,6,6,Tuesday,1:02 AM,119,MINI,1,-74.016048,40.711303,-73.979268,40.782004,Th?ne,Mah?r?shtra,Late_Night,05:54.0,,
7.28,9,2132,10,49,549.4,364.57,39.52,3144,229,138,2018,10,4,Wednesday,7:54 PM,117,MINI,1,-74.01583,40.711327,-73.980663,40.744378,Bhop?l,Madhya Pradesh,Evening,10:00.0,,
8.32,1,2255,3,92,472.32,163.74,78.17,3064,79,41,2018,4,26,Wednesday,6:15 AM,32,MINI,1,-74.015955,40.711525,-73.985972,40.763892,Pimpri-Chinchwad,Mah?r?shtra,Morning,33:20.0,,
8.95,4,2337,37,72,53,149.13,71.62,2720,229,138,2023,6,28,Wednesday,2:25 PM,164,MINI,1,-74.016064,40.711575,-73.983339,40.760979,Patna,Bih?r,AfterNoon,58:59.0,,
8.9,6,2091,34,107,664.2,343.98,55.37,3296,138,141,2023,8,21,Monday,12:49 AM,245,MINI,3,-73.957591,40.711669,-73.922218,40.776042,Bil?spur,Chhatt?sgarh,Late_Night,26:00.0,,
8.91,9,2091,1,128,53,275.48,43.92,2592,132,135,2020,12,24,Sunday,11:57 PM,267,AUTO,1,-74.006251,40.712062,-73.993574,40.741682,Ludhi?na,Punjab,Night,32:13.0,,
10.23,2,2788,31,49,53,281.58,71.5,3274,138,163,2019,1,19,Thrusday,9:57 PM,188,AUTO,4,-74.005476,40.71212,-73.997679,40.691125,?gra,Uttar Pradesh,Night,42:00.0,,
15.67,6,3608,19,99,742.92,190.63,49.67,4709,88,95,2019,4,6,Thrusday,11:12 AM,239,MINI,1,-74.006893,40.712272,-73.989375,40.734032,Madurai,Tamil N?du,Morning,24:48.0,,
5.8,6,2624,15,76,413.28,72.29,64.21,3265,100,7,2022,9,25,Monday,1:04 AM,146,AUTO,2,-73.959008,40.712517,-73.959132,40.712184,Jamshedpur,Jh?rkhand,Late_Night,21:00.0,,
10.23,7,2706,40,154,665.532,307.34,11.02,3884,138,161,2022,2,14,Tuesday,8:49 PM,114,AUTO,1,-74.009954,40.712692,-73.998542,40.725977,Prayagraj,Uttar Pradesh,Night,38:20.0,,
9.9,7,2911,7,144,688.8,6.44,71.74,3829,48,138,2018,6,4,Sunday,3:11 AM,246,MINI,1,-74.016361,40.712852,-73.984364,40.729531,N?sik,Mah?r?shtra,Late_Night,38:00.0,,
2.3,9,2009,2,61,4353.5,366.78,98.75,6891,237,186,2018,10,11,Wednesday,4:06 PM,52,MINI,1,-74.009393,40.712895,-73.980368,40.763825,Far?d?b?d,Hary?na,Evening,47:14.0,,
8.4,10,3649,38,133,742.1,326.17,54.73,4943,161,75,2023,10,4,Wednesday,6:45 AM,162,AUTO,1,-73.960403,40.713011,-73.92932,40.702702,Meerut,Uttar Pradesh,Morning,49:00.0,,
10.5,5,2583,34,103,53,308.15,8.52,3090,100,70,2018,2,11,Saturday,12:42 AM,136,AUTO,1,-74.009137,40.713436,-74.002823,40.723428,Jabalpur,Madhya Pradesh,Late_Night,34:00.0,,
9.11,1,2542,16,153,53,229.51,61.98,3055,114,168,2018,8,10,Thrusday,1:32 AM,256,MINI,1,-73.997868,40.713628,-73.989445,40.756853,Kaly?n,Mah?r?shtra,Late_Night,54:00.0,,
6.5,4,1886,1,100,398.52,116.06,78.61,2580,186,41,2020,11,5,Sunday,3:57 AM,289,MINI,5,-74.00885,40.714063,-73.98377,40.75544,Vasai-Virar,Mah?r?shtra,Late_Night,13:00.0,,
7.4,9,2214,17,68,328,54.51,86.15,2768,246,25,2020,3,15,Wednesday,12:13 AM,217,AUTO,1,-74.000407,40.714337,-74.000503,40.718452,Najafgarh,Delhi,Late_Night,37:56.0,,
3.6,9,1845,8,86,382.12,333.81,12,2667,68,140,2021,1,9,Monday,9:25 AM,94,AUTO,6,-73.9972,40.7144,-73.9921,40.7255,V?r?nasi,Uttar Pradesh,Morning,32:00.0,,
8.62,4,2378,12,93,6153.9,135.92,82.23,8855,4,87,2021,3,5,Sunday,12:39 AM,73,MINI,4,-74.010894,40.714426,-73.98337,40.756248,Sr?nagar,Jammu and Kashm?r,Late_Night,18:00.0,,
9.73,6,2624,41,82,6453.42,100.26,12.2,9313,138,163,2018,10,5,Thrusday,12:38 PM,125,AUTO,5,-74.014483,40.71451,-73.982215,40.740178,Aurang?b?d,Mah?r?shtra,AfterNoon,28:00.0,,
6.86,1,1968,16,45,16453,235.66,97.3,18815,231,238,2023,9,13,Wednesday,6:49 AM,186,AUTO,1,-73.99384308,40.71469116,-73.99707031,40.71773148,Dhanb?d,Jh?rkhand,Morning,43:00.0,,
9.8,6,2870,28,107,681.42,398.64,27.47,4113,90,138,2019,6,27,Tuesday,11:03 AM,178,AUTO,2,-73.991992,40.714875,-73.997173,40.714412,Amritsar,Punjab,Morning,54:32.0,,
9,8,2747,38,129,656,147.13,29.28,3746,170,138,2019,11,6,Monday,10:23 PM,195,MINI,5,-73.992392,40.71515,-73.971869,40.688143,Al?garh,Uttar Pradesh,Night,18:00.0,,
12.17,10,2788,34,133,221.4,397.41,26.35,3600,140,257,2021,5,6,Saturday,8:59 PM,161,MINI,1,-74.009175,40.715537,-73.968962,40.765117,Guw?h?ti,Assam,Night,53:37.0,,
11.43,2,2993,17,145,53,177.32,39.6,3425,138,107,2022,8,24,Thrusday,7:38 AM,235,AUTO,1,-74.004736,40.715882,-74.017723,40.705141,H?ora,West Bengal,Morning,37:08.0,,
6.94,10,1968,23,123,423.12,129.38,94.83,2761,237,70,2018,6,4,Sunday,8:12 PM,67,MINI,1,-74.015613,40.715933,-73.97971,40.759842,R?nchi,Jh?rkhand,Night,20:49.0,,
26.2,7,5658,34,91,1439.1,26.68,24.7,7273,132,257,2022,11,7,Tuesday,10:52 AM,208,AUTO,5,-73.99578,40.716218,-74.009132,40.72078,Gwalior,Madhya Pradesh,Morning,19:00.0,,
9.29,2,2829,26,124,345.22,89.83,87.69,3502,162,52,2018,3,26,Sunday,12:48 PM,142,MINI,1,-74.00461,40.716322,-74.003732,40.658428,Delhi_City,Delhi_State,AfterNoon,54:15.0,,
0.2,7,246,36,98,53,142.03,49.39,624,237,141,2021,4,19,Wednesday,10:57 AM,210,MINI,1,-73.961407,40.716362,-73.994242,40.694847,Delhi,Delhi,Morning,09:33.0,,
10,8,2501,25,157,615.82,86.56,38.12,3424,238,138,2020,8,17,Thrusday,1:49 AM,201,MINI,1,-73.995692,40.716462,-74.006045,40.734662,Mumbai,Mah?r?shtra,Late_Night,59:00.0,,
7.8,10,2337,30,80,496.92,300.41,59.34,3304,138,80,2018,11,27,Monday,7:10 PM,118,MINI,2,-73.961598,40.716487,-73.960417,40.674963,Kolk?ta,West Bengal,Evening,51:00.0,,
9.1,3,2788,35,73,328,344.84,73.56,3642,234,95,2021,11,27,Monday,4:34 AM,220,MINI,1,-74.006545,40.716519,-73.993427,40.752308,Bangalore,Karn?taka,Late_Night,36:42.0,,
4.6,4,2132,28,89,439.52,307.58,7.99,3004,236,249,2018,12,8,Friday,12:23 PM,113,MINI,2,-74.01361847,40.71653366,-73.94696808,40.77207565,Chennai,Tamil N?du,AfterNoon,11:00.0,,
18.01,3,6560,28,155,15353.12,262.1,60.59,22419,231,132,2020,3,8,Wednesday,8:27 PM,276,AUTO,1,-74.014917,40.716612,-73.989222,40.743197,Hyder?b?d,Telang?na,Night,32:07.0,,
9.32,9,2460,18,148,53,169.31,38.56,2887,138,68,2022,8,10,Thrusday,5:14 AM,44,MINI,5,-73.98441,40.716667,-73.922238,40.767287,Pune,Mah?r?shtra,Morning,30:00.0,,
5.8,3,2091,44,104,323.9,246.93,0.61,2810,45,263,2022,11,18,Saturday,5:44 AM,111,MINI,2,-74.01197052,40.71670914,-73.98500061,40.72793961,Ahmedabad,Gujar?t,Morning,53:47.0,,
6.3,8,1804,21,131,53,95.82,67.76,2173,4,239,2020,7,8,Saturday,10:55 PM,166,MINI,1,-74.004068,40.716719,-73.939667,40.844999,S?rat,Gujar?t,Night,17:11.0,,
11.3,3,4100,25,143,927.42,394.81,87.19,5677,138,233,2018,9,25,Monday,12:37 PM,149,AUTO,1,-74.00145,40.717487,-74.017455,40.709785,Lucknow,Uttar Pradesh,AfterNoon,45:06.0,,
9.72,1,2214,16,142,558.42,246.28,10.35,3187,138,229,2018,2,5,Sunday,4:25 PM,94,AUTO,1,-74.000338,40.717538,-74.00771,40.705213,Jaipur,R?jasth?n,Evening,11:00.0,,
3.59,8,1763,0,57,365.72,98.01,15.09,2299,164,43,2022,9,26,Tuesday,4:03 PM,39,MINI,1,-74.01048279,40.71766663,-73.98577118,40.66036606,Kanpur,Uttar Pradesh,Evening,35:13.0,,
4.04,2,1927,46,47,414.92,51.19,50.43,2537,186,262,2018,9,20,Wednesday,5:17 AM,101,MINI,1,-74.005752,40.717735,-73.962639,40.766952,Mirz?pur,Uttar Pradesh,Morning,33:00.0,,
12.5,2,3362,50,129,856.9,189.81,21.98,4610,74,138,2018,3,25,Saturday,1:45 AM,45,AUTO,6,-73.999877,40.717883,-73.995689,40.68743,N?gpur,Mah?r?shtra,Late_Night,29:00.0,,
12.05,8,2952,27,158,611.72,207.24,23.91,3980,132,61,2022,2,17,Friday,5:26 AM,107,MINI,1,-73.957675,40.717887,-73.942583,40.686397,Gh?zi?b?d,Uttar Pradesh,Morning,34:31.0,,
13.71,5,3813,9,92,8753.532,150.13,37.3,12855,138,158,2018,5,1,Monday,12:36 AM,118,AUTO,2,-73.988492,40.717977,-73.97818,40.737407,Supaul,Bih?r,Late_Night,20:12.0,,
6.5,1,2337,33,98,496.1,49.49,14.53,3028,48,80,2020,3,6,Monday,5:34 AM,116,MINI,1,-73.987114,40.71832,-73.952986,40.772092,Vadodara,Gujar?t,Morning,41:16.0,,
3.5,3,1845,26,156,389.5,349.99,81.62,2848,162,236,2023,9,24,Sunday,9:18 AM,248,AUTO,1,-74.000405,40.71857,-74.00004,40.726592,R?jkot,Gujar?t,Morning,09:00.0,,
11.01,9,2624,22,142,6453.42,197.03,17.98,9456,138,230,2019,2,6,Monday,7:53 AM,124,MINI,1,-73.987285,40.718622,-73.959295,40.778482,Vish?khapatnam,Andhra Pradesh,Morning,28:08.0,,
15.53,5,3649,49,130,928.24,42.12,38.22,4837,132,145,2021,3,8,Wednesday,10:56 AM,15,AUTO,1,-74.002462,40.718762,-74.007071,40.705536,Indore,Madhya Pradesh,Morning,48:00.0,,
8.86,8,2091,23,142,549.4,373.18,22.82,3201,137,228,2018,3,7,Tuesday,6:41 PM,253,AUTO,1,-74.004978,40.719012,-74.006807,40.706832,Th?ne,Mah?r?shtra,Evening,26:00.0,,
18.2,9,5617,25,103,53,212.3,3.88,6014,162,1,2019,6,17,Saturday,10:34 PM,28,AUTO,1,-73.990532,40.719085,-73.990532,40.719085,Bhop?l,Madhya Pradesh,Night,36:43.0,,
12.3,9,3075,29,123,387.534,248.13,76.49,3939,231,127,2019,6,15,Thrusday,9:28 PM,66,SUV,2,-74.004845,40.71913,-73.980996,40.693537,Pimpri-Chinchwad,Mah?r?shtra,Night,51:00.0,,
10.9,4,3690,19,55,1148,351.03,13.64,5277,132,265,2020,1,4,Wednesday,4:38 AM,24,AUTO,1,-74.008083,40.719238,-73.99832,40.737977,Patna,Bih?r,Late_Night,29:22.0,,
11.5,1,2665,32,100,561.7,355.05,35.02,3749,132,138,2021,4,16,Sunday,12:05 PM,253,MINI,2,-74.002185,40.719517,-73.974876,40.756321,Bil?spur,Chhatt?sgarh,AfterNoon,11:36.0,,
18.24,4,4346,24,46,328,374.82,6.64,5125,138,165,2023,3,25,Saturday,2:54 PM,156,AUTO,1,-73.993112,40.719911,-73.956729,40.720723,Ludhi?na,Punjab,AfterNoon,54:00.0,,
9.25,10,3198,47,44,747.532,139.3,27.87,4204,138,48,2022,9,26,Tuesday,10:37 PM,107,MINI,1,-74.00462341,40.71994781,-73.97566223,40.78200531,?gra,Uttar Pradesh,Night,04:53.0,,
3.82,4,1845,31,82,478.536,5.74,84.6,2527,236,68,2019,12,20,Wednesday,8:46 PM,73,AUTO,1,-73.997265,40.719963,-73.994268,40.754212,Madurai,Tamil N?du,Night,39:00.0,,
